release_id,estimation_period,frame_vintage,universe,geography_level,geography_id,concept,estimand,estimate,unit,weighted_numerator,weighted_denominator,coverage,design_id,weight_semantics,uncertainty_status
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,66,poverty,fgt0,0.47423733262887074,proportion,1724.326941438574,3636.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,66,poverty,fgt1,0.26580285738068543,proportion,966.4591894361722,3636.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,66,poverty,fgt2,0.1983483691368115,proportion,721.1946701814467,3636.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,66,indigence,fgt0,0.24959485525255262,proportion,907.5268936982814,3636.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,66,indigence,fgt1,0.1596729301658121,proportion,580.5707740828929,3636.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,66,indigence,fgt2,0.13323516123169463,proportion,484.44304623844164,3636.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,70,poverty,fgt0,0.4994347197371065,proportion,1056.8038669637174,2116.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,70,poverty,fgt1,0.268643808406654,proportion,568.4502985884799,2116.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,70,poverty,fgt2,0.19408960085388913,proportion,410.6935954068294,2116.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,70,indigence,fgt0,0.21982212604640583,proportion,465.14361871419476,2116.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,70,indigence,fgt1,0.13895396569599935,proportion,294.02659141273466,2116.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,70,indigence,fgt2,0.1155322614067139,proportion,244.4662651366066,2116.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,74,poverty,fgt0,0.4307429804087984,proportion,678.4201941438574,1575.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,74,poverty,fgt1,0.2301727691313686,proportion,362.5221113819056,1575.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,74,poverty,fgt2,0.16842073628611204,proportion,265.26265965062646,1575.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,74,indigence,fgt0,0.1871065846240894,proportion,294.6928707829408,1575.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,74,indigence,fgt1,0.12395490395974886,proportion,195.22897373660444,1575.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,74,indigence,fgt2,0.10562227855269539,proportion,166.35508872049525,1575.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,78,poverty,fgt0,0.43742298895655085,proportion,531.0315085932527,1214.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,78,poverty,fgt1,0.21368153553144878,proportion,259.4093841351788,1214.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,78,poverty,fgt2,0.14759114397194428,proportion,179.17564878194037,1214.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,78,indigence,fgt0,0.1531653963886212,proportion,185.94279121578614,1214.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
